influx tag,"Antenna
name",Cosmic ray subarray,"Antenna
type",Latitude ITRF2000(1997.0),Longitude  ITRF2000(1997.0),Elevation (meters HAE),X (m),Y (m),"Used in
LWA-352",Online,Pol A FEE #,Pol B FEE #,Pol A Ant cable status,Pol B Ant cable status,"ARX board
location #",ARX Serial Number,ARX board address,"Pol A ARX
channel #",,"Pol B ARX
channel #",,"SNAP2
board ID","SNAP2
chassis #","SNAP2
location #",SNAP2 MAC Address,"SNAP2
hostname",FMC #,"Pol A digitizer
channel #","Pol B digitizer
channel #",Pol A FPGA Input #,Pol B FPGA Input #,Correlator number,Notes,,,
dict_key,antname,,ant_type,latitude,longitude,elevation,x,y,used,online,pola_fee,polb_fee,pola_resistance,polb_resistance,arx_location,arx_serial,arx_address,pola_arx_channel,check1,polb_arx_channel,check2,snap2_serial,snap2_chassis,snap2_location,snap2_mac,snap2_hostname,fmc,pola_digitizer_channel,polb_digitizer_channel,pola_fpga_num,polb_fpga_num,corr_num,notes,,,
,LWA-109,H,Coaxial,37.23991832,-118.2816345,1182.81,2.86,15.65,YES,YES,0116,0345,OK,OK,29,24,29,3,2903,4,2904,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,12,13,14,15,199,FEE installed on 11/04/2021,,,
,LWA-141,F,Coaxial,37.24005821,-118.2818697,1182.65,-18.01,31.18,YES,YES,0476,0236,OK,OK,36,41,36,1,3601,2,3602,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,12,13,14,15,263,FEE installed on 11/04/2021,,,
,LWA-083,,Coaxial,37.23960887,-118.281319,1182.93,30.85,-18.69,NO,NO,,,OK,OK,,,,,0,,0,,,,,,,,,,,,,,,
,LWA-181,B,Coaxial,37.23954294,-118.2819131,1182.92,-21.86,-26.01,YES,YES,0492,0644,OK,OK,32,20,32,13,3213,14,3214,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,12,13,14,15,231,FEE installed on 11/03/2021,,,
,LWA-203,D,Coaxial,37.24008471,-118.282378,1183.44,-63.11,34.12,YES,YES,0531,0657,OK,OK,39,44,39,7,3907,8,3908,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,12,13,14,15,295,"Cables unequal by 5 meters, FEE installed 9/3/2021",,,
,LWA-211,E,Coaxial,37.23966566,-118.282201,1183.09,-47.41,-12.39,YES,YES,0621,0173,OK,OK,42,47,42,13,4213,14,4214,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,12,13,14,15,327,FEE installed on 11/04/2021,,,
,LWA-270,K,Fiber,37.23919999,-118.2892819,1181.00,-675.71,-64.07,YES,YES,138,668,,,5,4101,5,11,511,12,512,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,12,13,14,15,39,,,,
,LWA-088,,Coaxial,37.23937961,-118.2813432,1182.26,28.70,-44.13,NO,NO,,,OK,BREAK,,,,,0,,0,,,,,,,,,,,,,,,
,LWA-273,J,Fiber,37.24496879,-118.2891249,1184.59,-661.73,576.17,YES,YES,316,567,,,1,4102,1,13,113,14,114,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,12,13,14,15,7,,,,
,LWA-011,G,Coaxial,37.23995095,-118.2807545,1182.69,80.94,19.28,YES,YES,0731,0865,OK,OK,16,39,16,5,1605,6,1606,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,18,19,16,17,72,FEE installed 10/28/2021,,,
,LWA-022,A,Coaxial,37.23957157,-118.2809067,1182.51,67.44,-22.83,YES,YES,0254,1348,OK,OK,19,35,19,9,1909,10,1910,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,18,19,16,17,104,FEE installed 10/29/2021,,,
,LWA-059,C,Coaxial,37.23926943,-118.2811794,1182.35,43.24,-56.36,YES,YES,0509,0274,OK,OK,22,30,22,13,2213,14,2214,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,18,19,16,17,136,FEE installed 11/01/2021,,,
,LWA-070,I,Coaxial,37.24026403,-118.2814812,1182.68,16.46,54.02,YES,YES,0103,0359,OK,OK,26,17,26,1,2601,2,2602,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,18,19,16,17,168,FEE installed 11/03/2021,,,
,LWA-112,H,Coaxial,37.23979248,-118.2816001,1183.07,5.91,1.69,YES,YES,0497,0276,OK,OK,29,24,29,9,2909,10,2910,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,18,19,16,17,200,FEE installed on 11/04/2021,,,
,LWA-155,B,Coaxial,37.23935653,-118.2817072,1182.84,-3.59,-46.69,YES,YES,0122,0355,OK,OK,33,25,33,3,3303,4,3304,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,18,19,16,17,232,FEE installed on 11/03/2021,,,
,LWA-163,F,Coaxial,37.24045172,-118.2820765,1183.54,-36.36,74.85,YES,YES,0472,0252,OK,OK,36,41,36,7,3607,8,3608,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,18,19,16,17,264,FEE installed on 12/01/2021,,,
,LWA-206,D,Coaxial,37.23992045,-118.2822066,1183.27,-47.91,15.89,YES,YES,0326,0223,OK,OK,39,44,39,13,3913,14,3914,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,18,19,16,17,296,FEE installed on 11/04/2021,,,
,LWA-214,E,Coaxial,37.23955709,-118.2822493,1182.99,-51.69,-24.44,YES,YES,0529,0656,OK,OK,43,48,43,3,4303,4,4304,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,18,19,16,17,328,FEE installed 5/25/2021,,,
,LWA-278,J,Fiber,37.24595285,-118.2836179,1184.13,-173.12,685.38,YES,YES,483,242,,,2,4107,2,3,203,4,204,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,18,19,16,17,8,,,,
,LWA-283,K,Fiber,37.23794955,-118.2905654,1179.59,-789.61,-202.85,YES,YES,321,558,,,6,4098,6,1,601,2,602,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,18,19,16,17,40,,,,
,LWA-010,G,Coaxial,37.23997246,-118.2809784,1182.63,61.07,21.66,YES,YES,0515,0565,OK,OK,16,39,16,3,1603,4,1604,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,16,17,18,19,73,"Cables unequal by 5 meters, FEE installed 9/3/2021",,,
,LWA-021,A,Coaxial,37.23959372,-118.2805229,1183.28,101.49,-20.37,YES,YES,0779,0871,OK,OK,19,35,19,7,1907,8,1908,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,16,17,18,19,105,FEE installed 10/29/2021,,,
,LWA-058,C,Coaxial,37.23934014,-118.2810636,1182.29,53.52,-48.51,YES,YES,0136,0679,OK,OK,22,30,22,11,2211,12,2212,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,16,17,18,19,137,FEE installed 11/01/2021,,,
,LWA-069,I,Coaxial,37.24037835,-118.2813634,1182.80,26.91,66.71,YES,YES,0465,0239,OK,OK,25,31,25,15,2515,16,2516,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,16,17,18,19,169,FEE installed 11/03/2021,,,
,LWA-111,H,Coaxial,37.23988712,-118.2815404,1182.89,11.20,12.19,YES,YES,0623,0694,OK,OK,29,24,29,7,2907,8,2908,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,16,17,18,19,201,FEE installed on 11/04/2021,,,
,LWA-106,,Coaxial,37.24010416,-118.2816042,1182.54,5.54,36.28,NO,NO,,,BREAK,OK,,,,,0,,0,,,,,,,,,,,,,,,
,LWA-154,B,Coaxial,37.239378,-118.2817588,1182.88,-8.18,-44.31,YES,YES,0110,0351,OK,OK,33,25,33,1,3301,2,3302,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,16,17,18,19,233,FEE installed on 11/03/2021,,,
,LWA-162,F,Coaxial,37.24051926,-118.2819143,1183.55,-21.97,82.35,YES,YES,0415,0165,OK,OK,36,41,36,5,3605,6,3606,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,16,17,18,19,265,FEE installed on 11/04/2021,,,
,LWA-205,D,Coaxial,37.23995846,-118.2823332,1183.43,-59.14,20.11,YES,YES,0106,0641,OK,OK,39,44,39,11,3911,12,3912,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,16,17,18,19,297,FEE installed on 11/04/2021,,,
,LWA-213,E,Coaxial,37.23960112,-118.2823262,1182.98,-58.51,-19.55,YES,YES,0268,0341,OK,OK,43,48,43,1,4301,2,4302,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,16,17,18,19,329,FEE installed 5/25/2021,,,
,LWA-277,J,Fiber,37.24560389,-118.280272,1184.30,123.74,646.65,YES,YES,169,386,,,2,4107,2,1,201,2,202,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,16,17,18,19,9,,,,
,LWA-280,K,Fiber,37.24003212,-118.2904463,1179.97,-779.02,28.28,YES,YES,444,211,,,5,4101,5,15,515,16,516,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,16,17,18,19,41,,,,
,LWA-012,G,Coaxial,37.23989205,-118.2807628,1182.64,80.20,12.74,YES,YES,1475,0586,OK,OK,16,39,16,9,1609,10,1610,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,22,23,20,21,74,FEE installed 9/3/2021,,,
,LWA-024,A,Coaxial,37.23952049,-118.280963,1182.47,62.44,-28.50,YES,YES,0790,0910,OK,OK,19,35,19,13,1913,14,1914,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,22,23,20,21,106,FEE installed 10/29/2021,,,
,LWA-062,C,Coaxial,37.2391213,-118.281032,1182.48,56.32,-72.80,YES,YES,0144,0676,OK,OK,23,32,23,1,2301,2,2302,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,22,23,20,21,138,FEE installed 11/01/2021,,,
,LWA-097,I,Coaxial,37.24068647,-118.2815533,1182.89,10.06,100.91,YES,YES,0119,1341,OK,OK,26,17,26,5,2605,6,2606,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,22,23,20,21,170,FEE installed on 11/04/2021,,,
,LWA-114,H,Coaxial,37.23972758,-118.2816148,1183.22,4.60,-5.51,YES,YES,0614,0364,OK,OK,29,24,29,13,2913,14,2914,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,22,23,20,21,202,FEE installed on 11/04/2021,,,
,LWA-157,B,Coaxial,37.23926781,-118.2817602,1182.90,-8.30,-56.54,YES,YES,0625,0688,OK,OK,33,25,33,7,3307,8,3308,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,22,23,20,21,234,FEE installed on 11/03/2021,,,
,LWA-119,,Coaxial,37.23959808,-118.2815257,1182.99,12.51,-19.89,NO,NO,,,~3M,BREAK,,,,,,,0,,,,,,,,,,,,Cables unequal by 5 meters,,,
,LWA-165,F,Coaxial,37.24025318,-118.2820573,1183.14,-34.66,52.82,YES,YES,0635,0675,OK,OK,36,41,36,11,3611,12,3612,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,22,23,20,21,266,FEE installed on 11/04/2021,,,
,LWA-208,D,Coaxial,37.23984916,-118.2822209,1183.39,-49.18,7.98,YES,YES,0460,0225,OK,OK,40,38,40,1,4001,2,4002,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,22,23,20,21,298,FEE installed on 11/04/2021,,,
,LWA-243,E,Coaxial,37.23957761,-118.2826224,1183.41,-84.80,-22.16,YES,YES,1181,0336,OK,OK,43,48,43,7,4307,8,4308,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,22,23,20,21,330,FEE installed 8/24/2021,,,
,LWA-123,,Coaxial,37.23936271,-118.2816232,1182.65,3.86,-46.01,NO,NO,,,OK,BREAK,,,,,,,0,,,,,,,,,,,,,,,
,LWA-282,J,Fiber,37.24424704,-118.2834497,1184.48,-158.20,496.07,YES,YES,503,271,,,2,4107,2,7,207,8,208,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,22,23,20,21,10,,,,
,LWA-288,K,Fiber,37.24319645,-118.2903236,1181.63,-768.10,379.47,YES,YES,447,194,,,6,4098,6,5,605,6,606,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,22,23,20,21,42,,,,
,LWA-008,G,Coaxial,37.24005932,-118.2808639,1182.76,71.23,31.30,YES,YES,0241,1378,OK,OK,16,39,16,7,1607,8,1608,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,20,21,22,23,75,FEE installed 10/28/2021,,,
,LWA-023,A,Coaxial,37.2395341,-118.2806968,1182.84,86.06,-26.99,YES,YES,0520,1554,OK,OK,19,35,19,11,1911,12,1912,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,20,21,22,23,107,FEE installed 10/29/2021,,,
,LWA-061,C,Coaxial,37.23919188,-118.281253,1182.49,36.71,-64.97,YES,YES,0438,0209,OK,OK,22,30,22,15,2215,16,2216,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,20,21,22,23,139,FEE installed 11/01/2021,,,
,LWA-072,I,Coaxial,37.24005545,-118.2814775,1182.49,16.79,30.87,YES,YES,0630,0365,OK,OK,26,17,26,3,2603,4,2604,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,20,21,22,23,171,FEE installed 11/03/2021,,,
,LWA-113,H,Coaxial,37.23975101,-118.2816636,1183.13,0.27,-2.91,YES,YES,0317,0553,OK,OK,29,24,29,11,2911,12,2912,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,20,21,22,23,203,FEE installed on 11/04/2021,,,
,LWA-156,B,Coaxial,37.23930994,-118.2817814,1182.98,-10.17,-51.87,YES,YES,0313,0550,OK,OK,33,25,33,5,3305,6,3306,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,20,21,22,23,235,FEE installed on 11/03/2021,,,
,LWA-164,F,Coaxial,37.24036689,-118.2818905,1183.13,-19.85,65.44,YES,YES,0112,0349,OK,OK,36,41,36,9,3609,10,3610,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,20,21,22,23,267,FEE installed on 11/04/2021,,,
,LWA-207,D,Coaxial,37.23988544,-118.2821112,1183.16,-39.44,12.01,YES,YES,0480,0233,OK,OK,39,44,39,15,3915,16,3916,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,20,21,22,23,299,FEE installed on 11/04/2021,,,
,LWA-215,E,Coaxial,37.23955076,-118.2821142,1183.07,-39.70,-25.14,YES,YES,0272,0339,OK,OK,43,48,43,5,4305,6,4306,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,20,21,22,23,331,FEE installed 5/25/2021,,,
,LWA-281,J,Fiber,37.24212013,-118.2846729,1184.03,-266.74,260.02,YES,YES,480,233,,,2,4107,2,5,205,6,206,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,20,21,22,23,11,,,,
,LWA-284,K,Fiber,37.24087344,-118.2864594,1183.69,-425.26,121.66,YES,YES,411,175,,,6,4098,6,3,603,4,604,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,20,21,22,23,43,,,,
,LWA-026,A,Coaxial,37.23946176,-118.2808817,1182.39,69.66,-35.02,YES,YES,0780,0870,OK,OK,20,33,20,1,2001,2,2002,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,26,27,24,25,108,FEE installed 10/29/2021,,,
,LWA-040,G,Coaxial,37.24023767,-118.2811357,1182.67,47.11,51.10,YES,YES,0793,0931,OK,OK,16,39,16,13,1613,14,1614,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,26,27,24,25,76,FEE installed 10/29/2021,,,
,LWA-085,C,Coaxial,37.23950626,-118.2813982,1182.77,23.83,-30.08,YES,YES,0243 ,1374,OK,OK,23,32,23,5,2305,6,2306,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,26,27,24,25,140,FEE installed 11/04/2021,,,
,LWA-099,I,Coaxial,37.24038456,-118.2815392,1182.99,11.32,67.40,YES,YES,0633,0674,OK,OK,26,17,26,9,2609,10,2610,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,26,27,24,25,172,FEE installed on 11/04/2021,,,
,LWA-116,H,Coaxial,37.23967521,-118.2816207,1183.17,4.08,-11.33,YES,YES,0595,0669,OK,OK,30,22,30,1,3001,2,3002,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,26,27,24,25,204,FEE installed on 11/04/2021,,,
,LWA-159,B,Coaxial,37.23899838,-118.2817955,1182.58,-11.43,-86.44,YES,YES,0512,0263,OK,OK,33,25,33,11,3311,12,3312,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,26,27,24,25,236,FEE installed on 11/03/2021,,,
,LWA-167,F,Coaxial,37.240093,-118.2819933,1183.11,-28.98,35.04,YES,YES,0359,0682,OK,OK,36,41,36,15,3615,16,3616,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,26,27,24,25,268,FEE installed on 11/04/2021,,,
,LWA-210,D,Coaxial,37.23975638,-118.2821837,1183.30,-45.88,-2.32,YES,YES,0624,0695,OK,OK,40,38,40,5,4005,6,4006,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,26,27,24,25,300,FEE installed on 11/04/2021,,,
,LWA-218,E,Coaxial,37.23939859,-118.2821063,1182.92,-39.00,-42.03,YES,YES,0541,0645,OK,OK,43,48,43,11,4311,12,4312,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,26,27,24,25,332,FEE installed 5/25/2021,,,
,LWA-146,,Coaxial,37.23982742,-118.2817753,1182.78,-9.64,5.57,NO,NO,,,~10M,BREAK,,,,,0,,0,,,,,,,,,,,,,,,
,LWA-292,K,Fiber,37.24074696,-118.291969,1179.14,-914.12,107.62,YES,YES,297,541,,,6,4098,6,9,609,10,610,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,26,27,24,25,44,,,,
,LWA-307,J,Fiber,37.24436111,-118.284472,1184.17,-248.90,508.73,YES,YES,402,217,,,2,4107,2,11,211,12,212,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,26,27,24,25,12,,,,
,LWA-025,A,Coaxial,37.23948929,-118.2806198,1182.96,92.89,-31.96,YES,YES,0259,1365,OK,OK,19,35,19,15,1915,16,1916,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,24,25,26,27,109,FEE installed 10/29/2021,,,
,LWA-038,G,Coaxial,37.2402905,-118.2810415,1182.42,55.48,56.96,YES,YES,0222,1345,OK,OK,16,39,16,11,1611,12,1612,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,24,25,26,27,77,FEE installed 10/29/2021,,,
,LWA-064,C,Coaxial,37.23897382,-118.2811417,1182.58,46.59,-89.17,YES,YES,0120,0390,OK,OK,23,32,23,3,2303,4,2304,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,24,25,26,27,141,FEE installed 11/02/2021,,,
,LWA-152,,Coaxial,37.23951195,-118.2818243,1182.72,-13.98,-29.45,NO,NO,,,BREAK,OK,,,,,,,,,,,,,,,,,,,,,,
,LWA-098,I,Coaxial,37.24047376,-118.2815501,1183.12,10.35,77.30,YES,YES,0457,0197,OK,OK,26,17,26,7,2607,8,2608,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,24,25,26,27,173,FEE installed on 11/04/2021,,,
,LWA-115,H,Coaxial,37.23970227,-118.2816751,1183.15,-0.74,-8.32,YES,YES,0600,0653,OK,OK,29,24,29,15,2915,16,2916,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,24,25,26,27,205,FEE installed on 11/04/2021,,,
,LWA-158,B,Coaxial,37.23905325,-118.2817099,1182.59,-3.83,-80.35,YES,YES,0478,0237,OK,OK,33,25,33,9,3309,10,3310,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,24,25,26,27,237,FEE installed on 11/03/2021,,,
,LWA-166,F,Coaxial,37.24016971,-118.2818941,1182.79,-20.18,43.55,YES,YES,0606,0647,OK,OK,36,41,36,13,3613,14,3614,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,24,25,26,27,269,FEE installed on 11/04/2021,,,
,LWA-209,D,Coaxial,37.23980315,-118.2822226,1183.36,-49.33,2.87,YES,YES,0596,0666,OK,OK,40,38,40,3,4003,4,4004,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,24,25,26,27,301,FEE installed on 11/04/2021,,,
,LWA-217,E,Coaxial,37.23942601,-118.2822256,1182.81,-49.60,-38.98,YES,YES,0197,0397,OK,OK,43,48,43,9,4309,10,4310,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,24,25,26,27,333,FEE installed 5/25/2021,,,
,LWA-285,J,Fiber,37.24457919,-118.2862118,1184.07,-403.26,532.93,YES,YES,310,564,,,2,4107,2,9,209,10,210,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,24,25,26,27,13,,,,
,LWA-291,K,Fiber,37.24198723,-118.2931939,1179.19,-1022.79,245.27,YES,YES,628,691,,,6,4098,6,7,607,8,608,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,24,25,26,27,45,,,,
,LWA-029,A,Coaxial,37.23933221,-118.2805658,1182.41,97.69,-49.39,YES,YES,0812,0926,OK,OK,20,33,20,5,2005,6,2006,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,30,31,28,29,110,FEE installed 10/29/2021,,,
,LWA-042,G,Coaxial,37.24012608,-118.2810822,1182.68,51.86,38.71,YES,YES,0271,1367,OK,OK,17,23,17,1,1701,2,1702,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,30,31,28,29,78,FEE installed 10/29/2021,,,
,LWA-087,C,Coaxial,37.23943585,-118.2814539,1182.45,18.88,-37.89,YES,YES,0168,0387,OK,OK,23,32,23,9,2309,10,2310,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,30,31,28,29,142,FEE installed 6/2022,,,
,LWA-101,I,Coaxial,37.24023827,-118.2815469,1182.51,10.63,51.16,YES,YES,0133,0187,OK,OK,26,17,26,13,2613,14,2614,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,30,31,28,29,174,FEE installed on 11/04/2021,,,
,LWA-118,H,Coaxial,37.23960562,-118.2816027,1182.92,5.68,-19.05,YES,YES,0615,0361,OK,OK,30,22,30,5,3005,6,3006,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,30,31,28,29,206,FEE installed on 11/04/2021,,,
,LWA-182,B,Coaxial,37.23940676,-118.281965,1182.93,-26.47,-41.12,YES,YES,0324,0222,OK,OK,33,25,33,15,3315,16,3316,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,30,31,28,29,238,FEE installed on 11/03/2021,,,
,LWA-193,F,Coaxial,37.24058437,-118.2822677,1182.95,-53.33,89.57,YES,YES,0129,0393,OK,OK,37,42,37,3,3703,4,3704,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,30,31,28,29,270,FEE installed on 11/08/2021,,,
,LWA-168,,Coaxial,37.24005947,-118.2820538,1183.31,-34.35,31.32,NO,NO,,,OK,BREAK,,,,,0,,0,,,,,,,,,,,,,,,
,LWA-221,E,Coaxial,37.23915411,-118.2822702,1182.70,-53.55,-69.16,YES,YES,0325,0563,OK,OK,43,48,43,15,4315,16,4316,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,30,31,28,29,334,FEE installed on 11/04/2021,,,
,LWA-228,D,Coaxial,37.24017936,-118.2825483,1183.68,-78.23,44.63,YES,YES,0231,0337,OK,OK,40,38,40,9,4009,10,4010,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,30,31,28,29,302,FEE installed 8/24/2021,,,
,LWA-296,K,Fiber,37.24187965,-118.2897123,1181.25,-713.87,233.33,YES,YES,599,654,,,6,4098,6,13,613,14,614,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,30,31,28,29,46,,,,
,LWA-309,J,Fiber,37.24595793,-118.2818411,1184.47,-15.47,685.95,YES,YES,443,192,,,2,4107,2,15,215,16,216,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,30,31,28,29,14,,,,
,LWA-027,A,Coaxial,37.23946109,-118.2807466,1182.78,81.64,-35.09,YES,YES,0810,0925,OK,OK,20,33,20,3,2003,4,2004,7,1,4,00:00:08:4b:e4:6f,snap04.sas.pvt,0,28,29,30,31,111,FEE installed 10/29/2021,,,
,LWA-174,,Coaxial,37.23981447,-118.2818857,1182.64,-19.43,4.13,NO,NO,,,OK,~3M,,,,,,,0,,,,,,,,,,,,,,,
,LWA-041,G,Coaxial,37.24014563,-118.2812773,1182.88,34.55,40.88,YES,YES,1325,1375,OK,OK,16,39,16,15,1615,16,1616,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,0,28,29,30,31,79,FEE installed 10/29/2021,,,
,LWA-086,C,Coaxial,37.23947941,-118.2813026,1182.66,32.31,-33.06,YES,YES,0455,0196,OK,OK,23,32,23,7,2307,8,2308,5,1,5,00:00:18:2d:e4:75,snap05.sas.pvt,0,28,29,30,31,143,FEE installed 11/04/2021,,,
,LWA-100,I,Coaxial,37.24030922,-118.2816171,1182.65,4.40,59.04,YES,YES,0147,0646,OK,OK,26,17,26,11,2611,12,2612,6,1,6,02:00:c2:4f:e4:75,snap06.sas.pvt,0,28,29,30,31,175,FEE installed on 11/04/2021,,,
,LWA-117,H,Coaxial,37.23963314,-118.2816685,1182.98,-0.16,-16.00,YES,YES,0436,0207,OK,OK,30,22,30,3,3003,4,3004,8,2,7,00:00:d6:de:e4:75,snap07.sas.pvt,0,28,29,30,31,207,FEE installed on 11/04/2021,,,
,LWA-160,B,Coaxial,37.23888067,-118.2818386,1182.66,-15.25,-99.51,YES,YES,0588,0667,OK,OK,33,25,33,13,3313,14,3314,3,2,8,00:00:b3:f2:e4:75,snap08.sas.pvt,0,28,29,30,31,239,FEE installed on 11/03/2021,,,
,LWA-198,F,Coaxial,37.24031702,-118.2820992,1183.34,-38.37,59.90,YES,YES,485,254,OK,OK,37,42,37,1,3701,2,3702,1,2,9,02:00:ce:ca:e4:6f,snap09.sas.pvt,0,28,29,30,31,271,FEE installed on 11/04/2021,,,
,LWA-219,E,Coaxial,37.23938798,-118.2823083,1182.86,-56.93,-43.20,YES,YES,0545,0643,OK,OK,43,48,43,13,4313,14,4314,4,2,11,00:00:b3:fc:e4:6f,snap11.sas.pvt,0,28,29,30,31,335,FEE installed 5/25/2021,,,
,LWA-230,D,Coaxial,37.24010696,-118.2826228,1183.59,-84.83,36.59,YES,YES,0219,0388,OK,OK,40,38,40,7,4007,8,4008,2,2,10,00:00:41:1e:e4:75,snap10.sas.pvt,0,28,29,30,31,303,FEE installed 8/24/2021,,,
,LWA-295,K,Fiber,37.24095124,-118.2878577,1183.39,-549.32,130.29,YES,YES,629,692,,,6,4098,6,11,611,12,612,12,1,2,02:00:d4:5b:e4:75,snap02.sas.pvt,0,28,29,30,31,47,,,,
,LWA-308,J,Fiber,37.245339,-118.2844536,1184.15,-247.26,617.26,YES,YES,200,440,,,2,4107,2,13,213,14,214,13,1,1,00:00:4e:e4:ef:75,snap01.sas.pvt,0,28,29,30,31,15,,,,
,LWA-044,G,Coaxial,37.23996472,-118.2810662,1182.77,53.29,20.80,YES,YES,0443,0192,OK,OK,17,23,17,5,1705,6,1706,10,1,3,02:00:a6:4e:e4:6f,snap03.sas.pvt,1,2,3,32,33,80,FEE installed 11/11/2021,,,
